"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Portuguese>";"<Turkish>";"<Korean>";"<Chinese>";"<Japanese>";"<TChinese>";"<Comments>";"<max_chars>"
"clan/personal/activity/cell/desc";"For more details select ""Activity"" in the player menu (RMB)";"Pour plus de détails, sélectionnez ""Activité"" dans le menu du joueur";"Per maggiori dettagli selezionare ""Attività"" nel menu del giocatore (Tasto destro del Mouse)";"Klicke 'Aktivität' im Spieler-Menü für weitere Informationen (RMB)";"Para más detalles selecciona ""Actividad"" en el menú del jugador";"Чтобы узнать подробности, выберите пункт ""Активность"" в меню игрока (ПКМ)";"Więcej szczegółów znajdziesz w zakładce „aktywność” w menu gracza (PPM)";"Para mais informações selecione ""Atividade"" no menu do jogador (RMB)";"Daha fazla detay için oyuncu menüsünde ""Aktivite"" kısmını seçin";"자세한 사항은 플레이어 메뉴에서 ""활동량"" 선택";"欲\t了\t解\t更\t多\t信\t息，\t请\t在\t玩\t家\t资\t料\t中\t查\t看\t“活\t跃\t度”\t资\t料\t（鼠\t标\t右\t键）";"詳細については\tプレイヤーメニューで""アクティビティ""を\t選択";"欲\t了\t解\t更\t多\t信\t息，\t請\t在\t玩\t家\t資\t料\t中\t查\t看\t“活\t躍\t度”\t資\t料\t（鼠\t標\t右\t鍵）";;
"clan/personal/dr_era/desc";"Personal squadron rating is earned in squadron battles according to the Elo system. Victory or defeat in every squadron battle changes the personal rating of every player participating in the battle upwards or downwards. The changes also depend on the difference in ratings (average rating of all team members) of the two teams.

Individual rating of a player resets at the start of each season.";"Le niveau de l'escadron est obtenu en batailles d'escadron suivant le système Elo. Les victoires ou défaites en bataille d'escadron change le niveau personnel des joueurs participant. Le changement dépend de la différence de niveau (niveau moyen de tous les membres de l'équipe en jeu) des deux équipes.

Le niveau de chaque joueur est remis à zéro au début de chaque saison.";"La valutazione squadriglia personale è conseguita nelle battaglie di squadriglia secondo il sistema Elo. La vittoria o la sconfitta in ogni battaglia di squadriglia cambia la valutazione personale di ogni giocatore partecipante in positivo o negativo. I cambiamenti dipendono anche dalla differenza di valutazioni (la media di tutti i membri della squadra) tra le due squadre. 

Le valutazioni individuali del giocatore si azzerano all'inizio di ciascuna stagione.";"Die 'Persönliche Kampfgruppenwertung' wird in Kampfgruppen-Gefechten auf Basis des Elo-Systems erspielt. Sieg oder Niederlage in jedem Kampfgruppen-Gefecht heben oder senken die persönliche Wertung aller teilnehmenden Spieler. Die Änderung ist ebenfalls abhängig vom Wertungsunterschied (bezüglich des Durchschnitts aller Wertungen der Mitglieder eines Teams) zwischen den beiden Teams.

Die persönliche Kampfgruppenwertung wird zu Beginn einer jeden Saison zurückgesetzt.";"Puntuación personal del escuadrón se obtiene en Batallas de Escuadrón según el sistema Elo. La victoria o derrota en cada Batalla de Escuadrón cambia la puntuación personal de cada jugador participando en dicha batalla hacia arriba o hacia abajo. Los cambios también dependen de la diferencia en puntuación (puntuación promedio de todos los miembros del equipo) entre los dos equipos. La puntuación individual del jugador se reinicia al comienzo de cada temporada.";"Личный полковой рейтинг зарабатывается в полковых боях по системе Эло. Победа или поражение в каждом полковом бою меняет личный рейтинг каждого игрока, участвовавшего в бою, в плюс или в минус. Изменения также зависят от разницы в рейтинге (среднеарифметическое значение рейтингов всех игроков в команде) двух команд.

Индивидуальный рейтинг игрока сбрасывается в начале каждого сезона.";"Osobista ocena członka dywizjonu jest obliczana według sytemu ELO na podstawie wyników bitew dywizjonów. Każda porażka lub zwycięstwo zwiększa lub zmniejsza ocenę osobistą każdego z uczestników bitwy. Wielkość tej zmiany zależy także od różnicy średniej ocen graczy w drużynach.

Ocena osobista gracza resetowana jest na początku każdego sezonu.";"A pontuação individual no clã é obtida em Batalhas de Esquadrão conforme o sistema Elo. A vitória ou a derrota, respectivamente, aumenta ou diminui a pontuação individual em cada partida. Tais alterações consideram a diferença das pontuações (da média de todos os jogadores da equipe) dos dois times.

A pontuação individual de cada jogador é zerada no início de cada temporada.";"Kişisel filo derecesi, Elo sistemine bağlı olarak filo muharebelerinde kazanılır. Her filo muharebesinde zafer yada yenilgi, muharebeye katılan her oyuncunun kişisel derecesini yukarı yada aşağı değiştirir. Değişiklikler iki takımın dereceleri (tüm takım üyelerinin dereceleri ortalaması) farkına bağlıdır. 

Oyuncunun kişisel derecesi eğer uzun süre filo savaşlarına katılmazsa düşürülür. Bir hafta sonra derece %10 düşürülür, ikinci haftadan sonra %20 daha düşürülür, ve son olarak üçüncüde, her ardışık hafta derece 2 kat düşürülür.";"비행대 내 개별 등급은 비행대 전투에서 Elo 시스템에 따라 변화합니다. 매 비행대 전투에서 승리하거나 패배할 때마다 참가하는 대원들의 등급이 올라가거나 내려갑니다. 또한 이런 변화는 두 팀의 등급(팀원의 평균 등급) 차이에 의해서도 결정됩니다.

만약 어떤 플레이어가 비행대 전투에 오랫동안 참여하지 않는다면 그 플레이어의 개별 등급이 내려가게 됩니다. 1주일이 지나면 10%가 내려가며 2주일 째가 지나면 20% 더 내려갑니다. 그리고 3주일 째부터 1주일마다 2배씩 감소하게 됩니다.";"联\t队\t中\t的\t个\t人\t评\t分\t会\t根\t据\t联\t队\t战\t战\t绩\t进\t行\t评\t定\t（基\t于 Elo 评\t分\t系\t统）。\t每\t一\t场\t联\t队\t战，\t系\t统\t都\t会\t视\t个\t人\t表\t现\t调\t整\t该\t玩\t家\t的\t评\t分。\t同\t时，\t此\t评\t分\t也\t会\t参\t考\t作\t战\t队\t伍\t之\t间\t的\t实\t力\t差\t距。

玩\t家\t的\t评\t分\t每\t个\t赛\t季\t伊\t始\t都\t会\t重\t置。";"個人部隊\tレートは、\t部隊戦の\t中で\tELO\tシステムによって\t換算されます。\t部隊戦闘ごとの\t勝敗が、\t戦闘に\t参加したすべての\tプレイヤーの\t個人評価に\t影響します。\tまた、\t2\tチームの\t評価(全\tチームメンバーの\t平均評価)の\t差にも\t影響を\t受けます。\t
さらに、\t長い\t間戦闘に\t参加しなかった\t場合にも、\tプレイヤーの\t個人評価は\t下がります。\t最初の\t1週間が\t過ぎた\t時点で、\t評価は\t10%下がり、\t2週目ではさらに\t20%下がります。\tそして、\t3週目の\t初めからは、\t1週ごとに\t評価は\t半減していきます。";"聯\t隊\t中\t的\t個\t人\t評\t分\t會\t根\t據\t聯\t隊\t戰\t戰\t績\t進\t行\t評\t定\t（基\t於 Elo 評\t分\t系\t統）。\t每\t一\t場\t聯\t隊\t戰，\t系\t統\t都\t會\t視\t個\t人\t表\t現\t調\t整\t該\t玩\t家\t的\t評\t分。\t同\t時，\t此\t評\t分\t也\t會\t參\t考\t作\t戰\t隊\t伍\t之\t間\t的\t實\t力\t差\t距。

玩\t家\t的\t評\t分\t每\t個\t賽\t季\t開\t始\t時\t都\t會\t重\t置。";;
"clan/personal/onlineStatus/desc";;;;;;;;;;;;;;;
"clan/personal/role/desc";"Player title affects the range of the squadron managing rights available.";"Le titre du joueur influe sur les droits de gestion de l'escadron disponibles.";"Il titolo del giocatore determina i diritti di gestione disponibili nella squadriglia.";"Der Titel eines Spielers beeinflusst, über welche Managementfunktionen er innerhalb der Kampfgruppe verfügen kann.";"El título del jugador afecta la gama de permisos administrativos del escuadrón disponibles.";"Звание определяет набор доступных прав по управлению полком.";"Tytuł gracza wpływa na zakres dostępnych praw do zarządzania Dywizjonem.";"A disponibilidade de permissões para gerenciar o esquadrão muda de acordo com o cargo.";"Oyuncu başlığı, filo yönetimi haklarının geçerlilik aralığını etkiler.";"플레이어 칭호는 가능한 비행대 관리 권한의 영역에 영향을 미칩니다.";"玩\t家\t的\t军\t阶\t讲\t决\t定\t其\t管\t理\t权\t限。";"プレイヤータイトルは、\t部隊の\t管理範囲に\t影響します。";"玩\t家\t的\t軍\t階\t講\t決\t定\t其\t管\t理\t權\t限。";;
"clan/personal/date/desc";"The date of entering the squadron.";"La date d'adhésion à l'escadron.";"Data di arruolamento nella squadriglia.";"Eintrittsdatum in die Kampfgruppe";"La fecha de ingreso al escuadrón.";"Дата вступления в полк.";"Data przystąpienia do Dywizjonu.";"Data de entrada no Esquadrão.";"Filoya katılma tarihi.";"전입일";"加\t入\t联\t队\t的\t日\t期。";"加入日";"加\t入\t聯\t隊\t的\t日\t期";;
"clan/membership_activity";"Squadron member activity";"Activité du membre de l'escadron";"Attività del membro della squadriglia";"Kampfgruppenmitglieds-Aktivität";"Actividad de miembros del escuadrón";"Активность члена полка";"Aktywność członków dywizjonu";"Atividade do membro do Esquadrão";"Filo üyesi faaliyeti";"대대원 활동량";"联\t队\t成\t员\t活\t跃\t度";"部隊\tメンバーの\tアクティビティ";"聯\t隊\t成\t員\t活\t躍\t度";;
"clan/dr_era/desc";"Squadron rating is earned in squadron battles and calculated according to the following formula: Squadron rating = The sum of personal ratings of the squadron's best 20 players + The sum of ratings of all other players of the squadron / 20";"Le niveau de l'escadron est obtenu en batailles d'escadron, et calculé suivant la formule suivante : niveau de l'escadron = somme du niveaux individuel des 20 meilleurs joueurs de l'escadron, plus somme du niveau des des autres joueurs divisé par 20";"La valutazione della squadriglia è conseguita nelle battaglie di squadriglia e calcolata secondo la seguente formula: Valutazione Squadriglia = somma delle valutazioni personali dei migliori 20 giocatori + la somma delle valutazioni di tutti gli altri membri della squadriglia / 20";"Die Kampfgruppen-Wertung wird in Kampfgruppen-Gefechten erspielt und berechnet sich aus der folgenden Formel: Kampfgruppen-Wertung = Summe aller persönlichen Wertungen der 20 besten Spieler + Summe der Wertung aller anderen Spieler in der Kampfgruppe / 20.";"La puntuación de Escuadrón es obtenida en batallas de escuadrón y se calcula según la siguiente formule: Puntuación de Escuadrón = la suma del puntaje personal de los 20 mejores jugadores del escuadrón + la suma de los puntajes de todos los demás jugadores del escuadrón / 20";"Рейтинг полка зарабатывается в полковых боях и считается по формуле: Рейтинг полка = Сумма личных рейтингов лучших 20 игроков в полку + Сумма личных рейтингов всех остальных игроков полка / 20";"Ocena dywizjonu ustalana jest na podstawie wyników w bitwach dywizjonów. Wylicza się ją z następującego wzoru: Ocena dywizjonu = suma ocen osobistych 20 najlepszych członków dywizjonu + suma ocen osobistych pozostałych graczy / 20";"A classificação do clã é obtida em Batalhas de Esquadrão e calculada assim: Classificação de esquadrão = A soma das pontuações individuais dos 20 melhores jogadores + A soma das pontuações dos demais jogadores do esquadrão / 20";"Filo derecesi filo muharebelerinde kazanılır ve şu formüle göre hesaplanır: Filo derecesi = Filonun en iyi 20 oyuncusunun kişisel dereceleri toplamı + Filonun geriye kalan tüm oyuncularının dereceleri toplamı / 20";"비행대 등급은 비행대 전투에서 받을 수 있으며 다음 식에 의해 계산됩니다.
비행대 등급 = [비행대 내 상위 20명의 개별 등급 합계] + [다른 비행대원의 등급 합계] / 20";"联\t队\t评\t分\t可\t通\t过\t联\t队\t战\t获\t得\t提\t升：
联\t队\t评\t分 = 队\t内\t排\t名\t前 20 玩\t家\t的\t个\t人\t评\t分\t之\t和\t＋\t其\t余\t玩\t家\t个\t人\t评\t分\t之\t和 / 20";"部隊\tレートは、\t部隊戦闘の\t中で\t獲得でき、\t以下の\t公式に\t基づいて\t換算されます。\t
部隊\tレート=部隊内の\t個人評価の\t上位\t20人の\tプレイヤーの\t合計+部隊内の\t他のすべての\tプレイヤーの\t個人部隊\tレートの\t合計/20";"聯\t隊\t評\t分\t可\t通\t過\t聯\t隊\t戰\t獲\t得\t提\t升：
聯\t隊\t評\t分 = 隊\t內\t排\t名\t前 20 玩\t家\t的\t個\t人\t評\t分\t總\t和\t＋\t其\t餘\t玩\t家\t個\t人\t評\t分\t總\t和 / 20";;
"clan/members_cnt/desc";"The number of players in the squadron";"Le nombre de joueurs dans l'escadron";"Il numero di giocatori della squadriglia";"Die Anzahl der Spieler in der Kampfgruppe";"El número de jugadores en el escuadrón";"Количество игроков в полку";"Liczba członków dywizjonu";"Número de membros no Esquadrão";"Filodaki oyuncu sayısı";"대대원 수";"联\t队\t成\t员\t总\t数";"部隊\tメンバー\t数";"聯\t隊\t成\t員\t總\t數";;
"clan/air_kills/desc";"Air vehicles destroyed";"Véhicules aériens détruits";"Velivoli distrutti";"Zerstörte Luftfahrzeuge";"Unidades aéreas destruidas";"Воздушной техники уничтожено";"Zniszczone cele powietrzne";"Veículos aéreos destruídos ";"Hava araçları yok edildi";"항공기 격추 수";"空\t中\t目\t标\t击\t坠\t数";"撃墜した\t航空機";"空\t中\t目\t標\t擊\t墜\t數";;
"clan/ground_kills/desc";"Ground vehicles destroyed";"Véhicules terrestres détruits";"Veicoli distrutti";"Zerstörte Landfahrzeuge";"Unidades terrestres destruidas";"Наземной техники уничтожено";"Zniszczone cele naziemne";"Veículos terrestres destruídos ";"Kara araçları yok edildi";"지상 차량 격파 수";"地\t面\t单\t位\t摧\t毁\t数";"撃破した\t地上車両";"地\t面\t載\t具\t摧\t毀\t數";;
"clan/deaths/desc";"Vehicles lost";"Véhicules perdus";"Unità persa";"Verlorene Fahrzeuge";"Vehículos perdidos";"Техники потеряно";"Utracone maszyny";"Veículos perdidos";"Kaybedilmiş araçlar";"장비 손실";"载\t具\t损\t失\t数";"機体/車両 を\t失いました";"載\t具\t損\t失\t數";;
"clan/time_pvp_played/desc";"Time spent in battles";"Temps passé en bataille";"Tempo trascorso in battaglie";"In Schlachten verbrachte Zeit";"Tiempo en Batallas";"Время, проведённое в боях";"Czas w bitwach";"Tempo em batalhas";"Savaşlarda harcanan zaman";"전투 시간";"作\t战\t总\t时\t长";"戦闘時間";"作\t戰\t總\t時\t長";;
"clan/pvp_ratio/desc";;;;;;;;;;;;;;;
"clan/activity/desc";"Squadron activity is the total activity of all players in the squadron for the last 3 days.";"L'activité de l'escadron est le cumul de l'activité de ses membres pour les 3 derniers jours.";"L'attività di squadriglia è il totale dell'attività di tutti i giocatori nella squadriglia negli ultimi 3 giorni.";"Kampfgruppen-Aktivität ist die Gesamtaktivität aller Spieler in der Kampfgruppe über die letzten 3 Tage.";"Actividad de Escuadrón es la actividad total de todos los jugadores de la escuadrilla durante los últimos 14 días.";"Активность полка - суммарная активность всех игроков в полку за последние 3 дня.";"Aktywność Dywizjonu to suma aktywności wszystkich graczy Dywizjonu w ciągu ostatnich 3 dni.";"Atividade do esquadrão é a soma das atividades, dos últimos 3 dias, de todos os jogadores do clã.";"Filo aktivitesi, son 3 gün boyunca filodaki büyün oyuncuların toplam aktivitesidir";"비행대 활동량은 지난 14일간 모든 비행대원이 얻은 활동량 점수의 총합입니다.";"联\t队\t活\t跃\t度\t为\t联\t队\t各\t成\t员\t在\t过\t去 3 天\t内\t的\t活\t跃\t度\t之\t和";"部隊\tアクティビティーは、\t部隊内のすべての\tプレイヤーの\t直近\t14日間の\t総合\tアクティビティーです。";"聯\t隊\t活\t躍\t度\t為\t聯\t隊\t各\t成\t員\t在\t過\t去 3 天\t內\t的\t活\t躍\t度\t總\t和";;
"clan/activity_today";"Today:";"Aujourd'hui:";"Oggi:";"Heute:";"Hoy:";"За сегодня:";"Dzisiaj:";"Hoje:";"Bugün:";"오늘:";"今\t天：";"今日:";"今\t天:";;
"clan/my_activity_in_period";"My activity in last period: {activity}";"Mon activité durant la période précédente: {activity}";"La mia attività nell'ultimo periodo: {activity}";"Meine Aktivität in letzter Zeit: {activity}";"Mi actividad en el último período: {activity}";"Моя активность за последний период: {activity}";"Moja aktywność w ostatnim okresie: {activity}";"A minha atividade no último período: {activity}";"En son dönemdeki aktivitem: {activity}";"지난 분기의 활동량: {activity}";"上\t期\t活\t跃\t度：\t{activity}";"前回の\t貢献率：\t %";"上\t一\t期\t的\t活\t躍\t度: {activity}";;
"clan/activity_period_end";"The period will end: {date}";"La période prendra fin: {date}";"Il periodo terminerà: {date}";"Die Frist endet: {date}";"El periodo terminará: {date}";"Период закончится: {date}";"Okres skończy się: {date}";"O período vai acabar em: {date}";"Bu dönemin bitişi: {date}";"다음 날짜에 분기가 끝남: {date}";"本\t期\t结\t束\t时\t间：\t{date}";"終了まで：\t {date}";"本\t期\t結\t束\t時\t間：\t{date}";;
"clan/activity_reward";"Activity reward";"Récompense d'activité";"Ricompensa attività";"Aktivitätsbelohnung";"Recompensa por actividad";"Награда за активность";"Nagroda za aktywność";"Recompensa de atividade";"Aktivite ödülü";"활동 보상";"活\t跃\t度\t报\t酬";"貢献率報酬";"活\t躍\t度\t獎\t勵";;
"clan/activity_current";"Current:";"Actuel:";"Corrente:";"Aktuell:";"Actual:";"Текущая:";"Obecnie:";"Atual:";"Mevcut:";"현재:";"当\t前：";"現在：";"當\t前:";;
"clan/activity_total";"Total:";"Total:";"Totale:";"Gesamt:";"Total:";"Всего:";"Łącznie:";"Total:";"Toplam";"지난 {count}일간:";"总\t计：";"過去 {count} 日間:";"總\t計:";;
"clan/activity/day";"Date";"Date";"Data";"Datum";"Fecha";"Дата";"Data";"Data";"Tarih";"날짜";"日\t期";"日";"日\t期";;
"clan/deaths";"Deaths";"Morts";"Morti";"Tode";"Muertes";"Смертей";"Zgony";"Mortes";"Ölümler";"사망";"死\t亡\t次\t数";"死亡回数";"死\t亡\t次\t數";;
"clan/ftime";"Time Played";"Temps joué";"Tempo di gioco";"Spieldauer";"Tiempo Jugado";"Время игры";"Czas gry";"Tempo jogado";"Oynanan Süre";"플레이 시간";"游\t戏\t时\t长";"総\tプレイ\t時間";"遊\t戲\t時\t間";;
"clan/number";"#";"#";"#";"#";"#";"№";"#";"#";"#";"#";"#";"#";"#";;
"clan/nick";"Player";"Joueur";"Giocatore";"Spieler";"Jugador";"Игрок";"Gracz";"Jogador";"Oyuncu";"대상 플레이어";"玩\t家";"プレイヤー";"玩\t家";;
"clan/initiator_nick";"Added by";"Ajouté par";"Aggiunto da";"Hinzugefügt von";"Añadido por";"Добавил";"Dodany przez";"Adicionado por";"Ekleyen";"에 의해 추가됨";"添\t加\t者：";"によって\t追加";"添\t加\t者：";;
"clan/role";"Grade";"Grade";"Grado";"Kampfgruppenrang";"Rango";"Звание";"Ranga";"Hierarquia";"Kademe";"계급";"军\t阶";"階級";"軍\t階";;
"clan/date";"Join Date";"Date d'inscription";"Data Arruolamento";"Eintrittstag";"Fecha de unión";"Дата вступления";"Data dołączenia";"Data de entrada";"Üyelik Tarihi";"전입일";"加\t入\t时\t间";"加入日";"加\t入\t日\t期";;
"clan/onlineStatus";"Online";"En ligne";"On-line";"Online";"En línea";"В сети";"Online";"Conectado";"Online";"접속 중";"在\t线";"オンライン";"線\t上";;
"clan/LEADER";"Commander";"Commandant";"Comandante";"Befehlshaber";"Comandante";"Командир";"Dowódca";"Comandante";"Komutan";"대대장";"指\t挥\t官";"隊長";"指\t揮\t官";;
"clan/OFFICER";"Officer";"Officer";"Ufficiale";"Offizier";"Oficial";"Офицер";"Oficer";"Oficial";"Subay";"장교";"军\t官";"士官";"軍\t官";;
"clan/REGULAR";"Private";"Privé";"Pilota";"Mannschafter";"Recluta";"Рядовой";"Szeregowy";"Soldado";"Er";"병";"列\t兵";"兵卒";"列\t兵";;
"clan/DEPUTY";"Deputy";"Député";"Vice";"Stellv. Befehlshaber";"Subcomandante";"Заместитель";"Zastępca";"Vice";"Vekil";"부대대장";"副\t指\t挥\t官";"副隊長";"副\t指\t揮\t官";;
"clan/SERGEANT";"Sergeant";"Sergent";"Sergente";"Unteroffizier";"Sargento";"Сержант";"Sierżant";"Sargento";"Çavuş";"부사관";"中\t士";"軍曹";"中\t士";;
"clan/btn_clan_info";"Squadron Info";"Infos de l'escadron";"Informazioni della Squadriglia";"Kampfgruppen-Info";"Info del escuadrón";"О полке";"Informacja o Dywizjonie";"Informações do esquadrão";"Filo Bilgileri";"비행대 정보";"联\t队\t信\t息";"部隊情報";"聯\t隊\t資\t訊";;
"clan/btn_membership_req";"Apply for Membership";"Candidater";"Invia la richiesta di reclutamento";"Bewerben";"Solicitar membresía";"Подать заявку";"Aplikuj o członkostwo";"Solicitar a adesão";"Üyelik için Başvur";"전입신청";"申\t请\t加\t入\t联\t队";"入隊を\t申し\t込む";"申\t請\t加\t入\t聯\t隊";;
"clan/requestSent";"Application sent successfully";"Demande envoyée avec succès";"Richiesta d'arruolamento inviata con successo";"Anfrage erfolgreich gesendet";"Solicitud enviada correctamente";"Заявка успешно подана";"Aplikacja wysłana pomyślnie";"Pedido enviado com sucesso";"Başvuru başarılı bir şekilde gönderildi";"전입신청이 접수되었습니다.";"已\t成\t功\t发\t送\t申\t请";"入隊を\t申し\t込みました。";"已\t經\t成\t功\t發\t送\t申\t請";;
"clan/btnShowRequests";"Membership Applications";"Demandes d'adhésions";"Richieste d'arruolamento";"Ausstehende Bewerbungen";"solicitudes de membresía";"Заявки на вступление";"Wnioski o członkostwo";"Pedidos de adesão";"Üyelik Başvuruları";"전입신청";"入\t队\t申\t请";"入隊申し\t込み";"入\t隊\t申\t請";;
"clan/newCandidates";"There are new Membership Applications";"Il existe de nouvelles demandes d’adhésion";"Ci sono nuove Domande d'Iscrizione";"Neue Mitgliedschaftsanträge vorhanden";"Hay nuevas Solicitudes de Membresía";"Есть новые заявки на вступление";"Masz nowe Wnioski Aplikacyjne";"Existem novos pedidos de adesão";"Yeni Üyelik Başvuruları var";"새로운 전입신청이 있습니다.";"有\t新\t的\t入\t队\t申\t请";"新規の\t入隊申し\t込みがあります";"有\t新\t的\t入\t隊\t申\t請";;
"clan/btnDisbandClan";"Disband the Squadron";"Dissoudre l'Escadron";"Sciogli la Squadriglia";"Kampfgruppe auflösen";"Disolver el escuadrón";"Распустить полк";"Rozwiąż Dywizjon";"Eliminar o esquadrão";"Filoyu Dağıt";"비행대 해체";"解\t散\t联\t队";"部隊を\t解散します。";"解\t散\t聯\t隊";;
"clan/disbandClanConfirmation";"Do you really want to disband this Squadron?";"Voulez-vous vraiment de dissoudre cet Escadron ?";"Vuoi veramente sciogliere la Squadriglia?";"Möchtest du die Kampfgruppe wirklich auflösen?";"¿Estás seguro de que quieres disolver este escuadrón? Atención: no hay reembolso después de disolver el escuadrón.
";"Вы действительно хотите распустить полк?";"Czy naprawdę chcesz rozwiązać ten Dywizjon?";"Você realmente quer desmantelar este esquadrão?";"Gerçekten filoyu dağıtmak istiyor musunuz?";"정말로 이 부대를 해체하시겠습니까?";"确\t定\t要\t解\t散\t该\t联\t队\t吗？";"本当にこの\t部隊を\t解散しますか？";"確\t定\t要\t解\t散\t聯\t隊\t嗎?";;
"clan/clanDisbanded";"Squadron Disbanded";"Escadron dissous";"Squadriglia sciolta";"Kampfgruppe aufgelöst";"Escuadrón disuelto";"Полк распущен";"Dywizjon został rozwiązany";"Esquadrão eliminado";"Filo Dağıtıldı";"비행대가 해체되었습니다.";"联\t队\t已\t解\t散";"部隊は\t解散されました。";"聯\t隊\t已\t解\t散";;
"clan/candidatesList";"Membership Applications";"Demandes d'adhésions";"Richieste d'arruolamento";"Ausstehende Bewerbungen";"solicitudes de membresía";"Заявки на вступление";"Wnioski o członkostwo";"Pedidos de adesão";"Üyelik Başvuruları";"전입 신청자";"入\t队\t申\t请";"入隊申し\t込み";"入\t隊\t申\t請";;
"caln/log/membership_applications";"Membership Applications";"Demandes d'adhésions";"Richieste d'arruolamento";"Ausstehende Bewerbungen";"Solicitudes de Membresía";"Приём заявок на вступление";"Wnioski o członkostwo";"Pedidos de adesão";"Üyelik Başvuruları";"전입 신청자";"联\t队\t招\t新";"入隊申し\t込み";"聯\t隊\t招\t新";;
"clan/log/membership_applications/open";"open";"ouvert";"aperto";"Offen";"abiertas";"открыт";"otwarte";"aberto";"açık";"모집 중";"开\t放";"開く";"開\t放";;
"clan/log/membership_applications/closed";"closed";"fermé";"chiuso";"Geschlossen";"cerrada";"закрыт";"zamknięte";"fechado";"kapandı";"모집 안함";"关\t闭";"閉じる";"關\t閉";;
"clan/requestDate";"Application Date";"Date de la candidature";"Data della richiesta";"Bewerbungstag";"Fecha de la solicitud";"Дата подачи";"Data zgłoszenia";"Data de aplicação";"Başvuru Tarihi";"입대일";"申\t请\t日\t期";"申込日";"申\t請\t日\t期";;
"clan/requestApprove";"Approve";"Approuver";"Approva";"Annehmen";"Aprobado";"Принять";"Zatwierdź";"Aprovar";"Onayla";"승낙";"批\t准";"承認";"批\t准";;
"clan/requestApproved";"Request Approved";"Demande approuvée";"Richiesta approvata";"Anfrage angenommen";"Solicitud aprobada";"Заявка принята";"Wniosek zatwierdzony";"Pedido aprovado";"Talep Onaylandı";"요청이 승인되었습니다.";"入\t队\t申\t请\t已\t批\t准";"要求を\t承認しました。";"入\t隊\t申\t請\t已\t批\t准";;
"clan/requestReject";"Reject";"Rejeter";"Respingi";"Ablehnen";"Rechazada";"Отклонить";"Odrzuć";"Rejeitar";"Reddet";"거절";"拒\t绝";"却下";"拒\t絕";;
"clan/requestRejected";"Request Rejected";"Demande Rejetée";"Richiesta respinta";"Anfrage abgelehnt";"Solicitud rechazada";"Заявка отклонена";"Wniosek odrzucony";"Pedido rejeitado";"İstek Reddedildi";"요청이 거부되었습니다.";"入\t队\t申\t请\t遭\t驳\t回";"要求を\t却下しました。";"入\t隊\t申\t請\t遭\t駁\t回";;
"clan/requestRecieved";"New Membership Applications from players";"Nouvelles demandes d’adhésion des joueurs";"Nuove Domande d'Iscrizione dai giocatori";"Neue Mitgliedschaftsanträge von Spielern";"Nuevas solicitudes de membresía de jugadores";"Новые заявки на вступление от игроков";"Nowe Wnioski Aplikacyjne graczy";"Novos pedidos de adesão de jogadores";"Oyunculardan yeni Üyelik Başvuruları";"새 가입신청 있음";"收\t到\t新\t的\t入\t队\t申\t请";"プレイヤーからの\t新規入隊申し\t込み";"收\t到\t新\t的\t入\t隊\t申\t請";;
"clan/moreCandidates";"and also from {count} players";"et aussi de {count} joueurs";"ed anche da {count} giocatori";"sowie von {count} weiteren Spielern";"y también de {count} jugadores";"и ещё от {count} игроков";"i również od {count} graczy";"e também pela {count} de jogadores";"ve ayrıca {count} oyuncudan";"{count} 명의 신청 더 있음";"来\t自 {count} 名\t玩\t家";"さらに {count} 名の\tプレイヤーから";"以\t及 {count} 位\t玩\t家";;
"clan/writeCommentary";"Provide a reason";"Fournir une raison";"Dai una motivazione";"Begründung angeben";"Proporciona una razón";"Укажите причину";"Podaj powód";"Fornecer uma razão";"Bir sebep belirtin";"이유를 적어주세요";"提\t供\t一\t条\t理\t由";"理由を\t述べる";"提\t供\t理\t由";;
"clan/userlogComment";"Comment:";"Commentaire :";"Commenta:";"Kommentar:";"Comentarios:";"Комментарий:";"Komentarz:";"Comentário:";"Yorum:";"의견:";"评\t论：";"コメント：";"評\t論:";;
"clan/needText";"Please provide a reason";"Merci de donner une raison";"Si prega di fornire un motivo";"Bitte Begründung angeben";"Por favor proporciona una razón";"Пожалуйста, укажите причину";"Prosimy o podanie powodu";"Por favor, forneça uma razão";"Lütfen bir sebep belirtin";"이유를 적어 주세요.";"请\t提\t供\t一\t条\t理\t由：";"理由を\t入力してください。";"請\t提\t供\t理\t由";;
"clan/not_in_clan";"You are not a member of any Squadron at the moment.";"Vous n'êtes membre d'aucun escadron à l'heure actuelle.";"Al momento non sei un membro di alcuna squadriglia.";"Du bist momentan kein Mitglied in einer Kampfgruppe.";"No eres miembro de ningún escuadrón en este momento.";"Вы не состоите ни в одном полку.";"Nie jesteś obecnie członkiem żadnego Dywizjonu.";"Você não é um membro de nenhum esquadrão no momento.";"Şu an hiç bir filonun üyesi değilsiniz.";"현재 어떤 비행대에도 소속되어 있지 않습니다.";"尚\t未\t加\t入\t任\t何\t联\t队。";"現在は\t部隊の\t一員ではありません。";"尚\t未\t加\t入\t任\t何\t聯\t隊。";;
